Date,Points,Rebounds,Assists
"APR 09, 2023",36,6,6
"APR 07, 2023",16,6,6
"APR 05, 2023",33,8,7
"APR 04, 2023",37,5,6
"APR 02, 2023",18,10,11
"MAR 31, 2023",18,10,6
"MAR 29, 2023",25,8,4
"MAR 26, 2023",19,8,3
"FEB 26, 2023",26,8,3
"FEB 23, 2023",13,9,8
"FEB 15, 2023",21,6,6
"FEB 07, 2023",38,7,3
"FEB 04, 2023",27,9,6
"FEB 02, 2023",26,7,7
"JAN 31, 2023",28,10,11
"JAN 28, 2023",41,9,8
"JAN 25, 2023",20,9,11
"JAN 24, 2023",46,8,7
"JAN 22, 2023",37,11,4
"JAN 20, 2023",23,9,6
"JAN 18, 2023",32,8,9
"JAN 16, 2023",48,8,9
"JAN 15, 2023",35,8,10
"JAN 12, 2023",24,16,9
"JAN 07, 2023",37,8,7
"JAN 06, 2023",25,7,10
"JAN 02, 2023",43,11,6
"DEC 30, 2022",47,10,9
"DEC 28, 2022",27,9,6
"DEC 27, 2022",28,7,5
"DEC 25, 2022",38,6,5
"DEC 23, 2022",34,2,8
"DEC 21, 2022",31,6,11
"DEC 18, 2022",33,7,9
"DEC 16, 2022",30,9,4
"DEC 13, 2022",33,9,9
"DEC 11, 2022",35,5,5
"DEC 09, 2022",23,4,6
"DEC 06, 2022",21,17,4
"DEC 04, 2022",29,8,6
"DEC 02, 2022",28,8,11
"NOV 30, 2022",31,7,8
"NOV 28, 2022",21,7,3
"NOV 26, 2022",39,11,3
"NOV 25, 2022",21,8,5
"NOV 09, 2022",30,8,5
"NOV 06, 2022",27,7,4
"NOV 04, 2022",17,10,8
"NOV 02, 2022",20,10,8
"OCT 30, 2022",26,6,8
"OCT 28, 2022",28,7,5
"OCT 26, 2022",19,7,9
"OCT 23, 2022",31,8,8
"OCT 20, 2022",20,10,6
"OCT 18, 2022",31,15,8
