TeamID,Abbreviation,City,Full_Name,Name
1610612737,ATL,Atlanta,Atlanta Hawks,ATL
1610612738,BOS,Boston,Boston Celtics,BOS
1610612739,CLE,Cleveland,Cleveland Cavaliers,CLE
1610612740,NOP,New Orleans,New Orleans Pelicans,NOP
1610612741,CHI,Chicago,Chicago Bulls,CHI
1610612742,DAL,Dallas,Dallas Mavericks,DAL
1610612743,DEN,Denver,Denver Nuggets,DEN
1610612744,GSW,Golden State,Golden State Warriors,GSW
1610612745,HOU,Houston,Houston Rockets,HOU
1610612746,LAC,Los Angeles,Los Angeles Clippers,LAC
1610612747,LAL,Los Angeles,Los Angeles Lakers,LAL
1610612748,MIA,Miami,Miami Heat,MIA
1610612749,MIL,Milwaukee,Milwaukee Bucks,MIL
1610612750,MIN,Minnesota,Minnesota Timberwolves,MIN
1610612751,BKN,Brooklyn,Brooklyn Nets,BKN
1610612752,NYK,New York,New York Knicks,NYK
1610612753,ORL,Orlando,Orlando Magic,ORL
1610612754,IND,Indiana,Indiana Pacers,IND
1610612755,PHI,Philadelphia,Philadelphia 76ers,PHI
1610612756,PHX,Phoenix,Phoenix Suns,PHX
1610612757,POR,Portland,Portland Trail Blazers,POR
1610612758,SAC,Sacramento,Sacramento Kings,SAC
1610612759,SAS,San Antonio,San Antonio Spurs,SAS
1610612760,OKC,Oklahoma City,Oklahoma City Thunder,OKC
1610612761,TOR,Toronto,Toronto Raptors,TOR
1610612762,UTA,Utah,Utah Jazz,UTA
1610612763,MEM,Memphis,Memphis Grizzlies,MEM
1610612764,WAS,Washington,Washington Wizards,WAS
1610612765,DET,Detroit,Detroit Pistons,DET
1610612766,CHA,Charlotte,Charlotte Hornets,CHA
